,metadata,sent,mvi,inf,xobj
0,Thucydides (0003) - History (001),"ἔπειτα ἔδοξε τῷ Δημοσθένει πρότερον ἀποπειρᾶσαι τοῦ παρατειχίσματος . ὡς δὲ αὐτῷ προσαγαγόντι κατεκαύθησάν τε ὑπὸ τῶν ἐναντίων ἀπὸ τοῦ τείχους ἀμυνομένων αἱ μηχαναὶ καὶ τῇ ἄλλῃ στρατιᾷ πολλαχῇ προσβάλλοντες ἀπεκρούοντο , οὐκέτι ἐδόκει διατρίβειν , ἀλλὰ πείσας τόν τε Νικίαν καὶ τοὺς ἄλλους ξυνάρχοντας , ὡς ἐπενόει , τὴν ἐπιχείρησιν τῶν *̓ επιπολῶν ἐποιεῖτο .",ἔδοξε;ἐδόκει,ἀποπειρᾶσαι;διατρίβειν,Δημοσθένει
1,Demosthenes (Apollodorus) (0014) - Against Stephanus 1 (045),"ὅταν γὰρ τῷ δούλῳ συνδικῇ τὸν ἀδελφὸν ἀτιμῶν , καὶ παραπεπτωκὼς θαυμάζῃ τούτους ὑφʼ ὧν αὐτῷ θαυμάζεσθαι προσῆκεν , τίνʼ ἔχει δικαίαν ταῦθʼ ὑποψίαν ;",προσῆκεν,θαυμάζεσθαι,αὐτῷ
2,Plato (0059) - Laws (034),"αἱ πλαστικαὶ γὰρ καὶ ὅσαι πλεκτικαὶ τῶν τεχνῶν οὐδὲ ἓν προσδέονται σιδήρου , ταῦτα δὲ πάντα τούτω τὼ τέχνα θεὸς ἔδωκε πορίζειν τοῖς ἀνθρώποις , ἵνʼ ὁπότε εἰς τὴν τοιαύτην ἀπορίαν ἔλθοιεν , ἔχοι βλάστην καὶ ἐπίδοσιν τὸ τῶν ἀνθρώπων γένος . πένητες μὲν δὴ διὰ τὸ τοιοῦτον σφόδρα οὐκ ἦσαν , οὐδʼ ὑπὸ πενίας ἀναγκαζόμενοι διάφοροι ἑαυτοῖς ἐγίγνοντο ·",ἔδωκε,πορίζειν,ἀνθρώποις
3,Antiphon (0028) - Prosecution Of The Stepmother For Poisoning (001),"πῶς οὖν ταύτην ἐλεεῖν ἄξιόν ἐστιν ἢ αἰδοῦς τυγχάνειν παρʼ ὑμῶν ἢ ἄλλου του ; ἥτις αὐτὴ οὐκ ἠξίωσεν ἐλεῆσαι τὸν ἑαυτῆς ἄνδρα , ἀλλʼ ἀνοσίως καὶ αἰσχρῶς ἀπώλεσεν . οὕτω δέ τοι καὶ ἐλεεῖν ἐπὶ τοῖς ἀκουσίοις παθήμασι μᾶλλον προσήκει ἢ τοῖς ἑκουσίοις καὶ ἐκ προνοίας ἀδικήμασι καὶ ἁμαρτήμασι .",προσήκει,ἐλεεῖν,παθήμασι
4,Euripides (0006) - Iphigenia in Aulis (051),οὐκ ἄρα δοκεῖ σοι τάδε πονεῖν *̔ελλάδι ;,δοκεῖ,πονεῖν,*̔ελλάδι
5,Xenophon (0032) - Anabasis (006),"Σοφαίνετον δὲ τὸν Στυμφάλιον καὶ Σωκράτην τὸν *̓αχαιόν , ξένους ὄντας καὶ τούτους , ἐκέλευσεν ἄνδρας λαβόντας ἐλθεῖν ὅτι πλείστους , ὡς πολεμήσων Τισσαφέρνει σὺν τοῖς φυγάσι τοῖς Μιλησίων . καὶ ἐποίουν οὕτως οὗτοι . ἐπεὶ δʼ ἐδόκει ἤδη πορεύεσθαι αὐτῷ ἄνω , τὴν μὲν πρόφασιν ἐποιεῖτο ὡς Πισίδας βουλόμενος ἐκβαλεῖν παντάπασιν ἐκ τῆς χώρας ·",ἐδόκει,πορεύεσθαι,αὐτῷ
6,Xenophon (0032) - Anabasis (006),"ἐμοὶ μὲν οὖν δοκεῖ παραγγεῖλαι μὲν ἀριστοποιεῖσθαι τοῖς στρατιώταις , ἡμᾶς δὲ βουλεύεσθαι εἴτε τήμερον εἴτε αὔριον δοκεῖ ὑπερβάλλειν τὸ ὄρος . ἐμοὶ δέ γε , ἔφη ὁ Κλεάνωρ , δοκεῖ , ἐπὰν τάχιστα ἀριστήσωμεν , ἐξοπλισαμένους ὡς κράτιστα ἰέναι ἐπὶ τοὺς ἄνδρας .",δοκεῖ;παραγγεῖλαι;δοκεῖ;δοκεῖ,παραγγεῖλαι;ἀριστοποιεῖσθαι;βουλεύεσθαι;ὑπερβάλλειν;ἰέναι,ἐμοὶ;στρατιώταις
7,Thucydides (0003) - History (001),"οἱ γὰρ τότε τῶν Σαμίων ἐπαναστάντες τοῖς δυνατοῖς καὶ ὄντες δῆμος μεταβαλλόμενοι αὖθις καὶ πεισθέντες ὑπό τε τοῦ Πεισάνδρου , ὅτε ἦλθε , καὶ τῶν ἐν τῇ Σάμῳ ξυνεστώτων *̓αθηναίων ἐγένοντό τε ἐς τριακοσίους ξυνωμόται καὶ ἔμελλον τοῖς ἄλλοις ὡς δήμῳ ὄντι ἐπιθήσεσθαι . καὶ *̔υπέρβολόν τέ τινα τῶν *̓αθηναίων , μοχθηρὸν ἄνθρωπον , ὠστρακισμένον οὐ διὰ δυνάμεως καὶ ἀξιώματος φόβον , ἀλλὰ διὰ πονηρίαν καὶ αἰσχύνην τῆς πόλεως , ἀποκτείνουσι μετὰ Χαρμίνου τε ἑνὸς τῶν στρατηγῶν καί τινων τῶν παρὰ σφίσιν *̓αθηναίων , πίστιν διδόντες αὐτοῖς , καὶ ἄλλα μετʼ αὐτῶν τοιαῦτα ξυνέπραξαν , τοῖς τε πλέοσιν ὥρμηντο ἐπιτίθεσθαι . οἱ δὲ αἰσθόμενοι τῶν τε στρατηγῶν Λέοντι καὶ Διομέδοντι ̔ οὗτοι γὰρ οὐχ ἑκόντες διὰ τὸ τιμᾶσθαι ὑπὸ τοῦ δήμου ἔφερον τὴν ὀλιγαρχίαν ̓ τὸ μέλλον σημαίνουσι καὶ Θρασυβούλῳ καὶ Θρασύλῳ , τῷ μὲν τριηραρχοῦντι , τῷ δὲ ὁπλιτεύοντι , καὶ ἄλλοις οἳ ἐδόκουν αἰεὶ μάλιστα ἐναντιοῦσθαι τοῖς ξυνεστῶσιν ·",διδόντες;σημαίνουσι;ἐδόκουν,ἐναντιοῦσθαι,ξυνεστῶσιν
8,Demosthenes (0014) - Against Leptines (020),"τῆς δέ γʼ αἰσχύνης ὅλην ἀναπίμπλησι τὴν πόλιν καὶ τῆς ἀπιστίας . οὔκουν ὅτε πολλῷ μείζονα βλάψει τῶν ὠφελειῶν ὧν ἔχει , προσήκει λελύσθαι παρὰ τοῖσδʼ αὐτόν ;",προσήκει,λελύσθαι,τοῖσδʼ
9,Xenophon (0032) - Hellenica (001),"καὶ ἐγὼ μέν , ἔφη , ἐπεὶ φίλος ἡμῖν γεγένησαι , συμβουλεύοιμʼ ἄν σοι τὴν παῖδα ἄγεσθαι γυναῖκα , καλλίστην μὲν οὖσαν , οὗ τί ἀνδρὶ ἥδιον ; πατρὸς δʼ εὐγενεστάτου , δύναμιν δʼ ἔχοντος τοσαύτην , ὃς ὑπὸ Φαρναβάζου ἀδικηθεὶς οὕτω τιμωρεῖται αὐτὸν ὥστε φυγάδα πάσης τῆς χώρας , ὡς ὁρᾷς , πεποίηκεν . εὖ ἴσθι μέντοι , ἔφη , ὅτι ὥσπερ ἐκεῖνον ἐχθρὸν ὄντα δύναται τιμωρεῖσθαι , οὕτω καὶ φίλον ἄνδρα εὐεργετεῖν ἂν δύναιτο .",συμβουλεύοιμʼ,ἄγεσθαι,σοι
